Issn,Title,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,HJRS Category
"09251030, 15731979",analog integrated circuits and signal processing,2.5,0.723,"0,307",51,1.321,0.0015,Q3,X
"09268782, 15737578",distributed and parallel databases,2.4,0.644,"0,357",43,0.974,0.00028,Q3,X
23765992,peerj computer science,2.2,1.304,"0,612",28,2.411,0.00436,Q2,W
"18787401, 09287329",technology and health care,2.2,0.537,"0,243",48,1.205,0.00166,Q4,X
15480992,ieee latin america transactions,2.1,0.505,"0,330",29,0.967,0.00184,Q3,X
"1751861X, 17518601",iet computers and digital techniques,2.1,0.756,"0,304",46,0.906,0.00031,Q3,X
3043975,theoretical computer science,2.1,1.056,"0,621",119,1.002,0.00924,Q2,W
"13000632, 13036203",turkish journal of electrical engineering and computer sciences,2.1,0.532,"0,296",35,0.853,0.002,Q3,X
18605974,logical methods in computer science,2,1.024,"0,696",38,0.591,0.00194,Q2,X
"24061018, 18200214",computer science and information systems,1.9,0.562,"0,350",26,1.17,0.00023,Q3,X
2676192,computer systems science and engineering,1.9,0.827,"0,316",27,4.397,0.0004,Q3,X
"15483924, 15483932",international journal of data warehousing and mining,1.9,0.71,"0,291",23,1.333,9.00E-05,Q4,Y
"07309295, 21635226",information technology and libraries,1.8,1.27,"0,548",37,1.685,0.00037,Q2,X
"15487199, 15487202",international journal of unconventional computing,1.8,0.322,"0,258",19,0.973,0.00016,Q3,Y
14548658,control engineering and applied informatics,1.7,0.562,"0,251",19,1.299,0.00019,Q3,Y
"0955792X, 1465363X",journal of logic and computation,1.6,0.886,"0,522",54,0.509,0.00139,Q2,X
14538245,romanian journal of information science and technology,1.6,0.47,"0,267",18,0.852,0.0001,Q3,Y
"09272852, 15729095",applied categorical structures,1.3,1.159,"0,628",29,0.713,0.0013,Q2,X
"17485681, 17485673",international journal of data mining and bioinformatics,1.2,0.176,"0,197",23,0.339,0.00022,Q4,Y
"15575977, 15575969",journal of cellular automata,1.2,0.495,"0,197",15,0.378,9.00E-05,Q4,Y
1279084,malaysian journal of computer science,1.2,0.3,"0,204",20,0.436,0.00011,Q4,Y
1033786,transinformacao,1.2,0.505,"0,295",9,0.604,0.00032,Q3,Y
"14627264, 13658050",discrete mathematics and theoretical computer science,1.1,0.767,"0,493",23,0.802,0.00124,Q2,X
10586180,ieee annals of the history of computing,0.7,0.739,"0,260",25,0.641,0.00029,Q3,X
10535888,ieee signal processing magazine,21.5,5.339,"4,703",191,15.204,0.01295,Q1,W
13675788,annual reviews in control,15.5,4.454,"3,742",86,10.699,0.00571,Q1,W
"18672949, 18672957",mathematical programming computation,13,5.374,"3,172",36,8.059,0.00276,Q1,W
985589,ieee transactions on software engineering,11.4,3.355,"2,027",173,9.322,0.00511,Q1,W
"19410476, 1053587X",ieee transactions on signal processing,10.5,2.109,"2,682",275,4.875,0.03705,Q1,W
15487660,journal of statistical software,9.6,4.018,"2,852",155,6.992,0.03326,Q1,W
"18735339, 09659978",advances in engineering software,9.3,1.764,"0,920",86,4.255,0.00785,Q2,W
"13823256, 15737616",empirical software engineering,8.2,2.458,"1,890",79,3.762,0.00487,Q1,W
"14364646, 00255610",mathematical programming,7,2.522,"2,794",129,3.06,0.01578,Q1,W
"17468094, 17468108",biomedical signal processing and control,6.9,1.855,"1,211",84,5.076,0.00872,Q1,W
"15577392, 1049331X",acm transactions on software engineering and methodology,6.7,2.472,"1,700",80,3.685,0.00089,Q1,W
"10709908, 15582361",ieee signal processing letters,6.6,1.38,"1,361",145,3.201,0.01878,Q1,W
"09641726, 1361665X",smart materials and structures,6.6,1.114,"0,890",161,4.131,0.01763,Q2,W
"14327643, 14337479",soft computing,6.3,1.379,"0,879",90,3.732,0.01909,Q2,W
7407459,ieee software,6.1,1.897,"1,115",116,3,0.0031,Q1,W
"16191374, 16191366",software and systems modeling,6,1.744,"0,833",52,2.211,0.00137,Q2,W
"09288910, 15737535",automated software engineering,5.2,1.401,"0,943",47,1.677,0.00059,Q2,W
"17477778, 17477786",journal of simulation,5.1,1.217,"0,866",26,2.543,0.00079,Q2,X
"08906327, 10991115",international journal of adaptive control and signal processing,5,0.916,"0,728",69,3.369,0.00276,Q2,W
"10526234, 10957189",siam journal on optimization,4.9,2.209,"3,020",130,2.763,0.01451,Q1,W
"09639314, 15731367",software quality journal,4.8,1.19,"0,618",45,1.813,0.00095,Q2,X
"15577295, 00983500",acm transactions on mathematical software,4.4,1.897,"0,657",86,2.464,0.00216,Q2,W
"17519675, 17519683",iet signal processing,4.4,0.759,"0,434",44,1.819,0.00189,Q3,X
18761364,journal of ambient intelligence and smart environments,4.3,0.837,"0,612",33,2.759,0.00048,Q2,X
13894420,optimization and engineering,3.9,1.432,"0,634",43,2.619,0.00197,Q2,W
1640925,acm transactions on programming languages and systems,3.7,1.488,"1,026",70,1.714,0.0006,Q2,W
15700755,quantum information processing,3.6,0.805,"0,463",60,1.965,0.00661,Q3,X
"09345043, 1433299X",formal aspects of computing,2.6,1.191,"0,508",42,0.886,0.00048,Q3,X
"16083261, 03617688",programming and computer software,1.9,1.096,"0,367",20,0.801,0.00027,Q3,X
"14325217, 14322994",mathematical methods of operations research,1.8,0.862,"0,573",49,1.337,0.00146,Q3,X
1676377,operations research letters,1.8,0.974,"0,718",77,1.151,0.0037,Q2,W
15423980,journal of multiple-valued logic and soft computing,1.5,0.499,"0,234",25,0.78,0.00034,Q4,Y
"14697653, 09567968",journal of functional programming,1.1,1.131,"1,352",52,1.543,0.00108,Q1,W
